album_name,track_title,track_n,lyric,line
THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Fortnight,1,"I was supposed to be sent away, but they forgot to come and get me",1
THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Fortnight,1,I was a functioning alcoholic till nobody noticed my new aesthetic,2
THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Fortnight,1,"All of this to say, I hope you're okay, but you're the reason",3
THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Fortnight,1,"And no one here's to blame, but what about your quiet treason?",4
THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Fortnight,1,"And for a fortnight there, we were forever",5
THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Fortnight,1,"Run into you sometimes, ask about the weather",6
THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Fortnight,1,"Now you're in my backyard, turned into good neighbors",7
THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Fortnight,1,Your wife waters flowers,8
THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Fortnight,1,I wanna kill her,9
THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Fortnight,1,All my mornings are Mondays stuck in an endless February,10
THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Fortnight,1,"I took the miracle move-on drug, the effects were temporary",11
THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Fortnight,1,"And I love you, it's ruining my life",12
THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Fortnight,1,"I love you, it's ruining my life",13
THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Fortnight,1,I touched you for only a fortnight,14
THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Fortnight,1,I touched you,15
THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Fortnight,1,But I touched you,16
THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Fortnight,1,"And for a fortnight there, we were forever",17
THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Fortnight,1,"Run into you sometimes, ask about the weather",18
THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Fortnight,1,"Now you're in my backyard, turned into good neighbors",19
THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Fortnight,1,Your wife waters flowers,20
THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Fortnight,1,I wanna kill her,21
THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Fortnight,1,"And for a fortnight there, we were together",22
THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Fortnight,1,"Run into you sometimes, comment on my sweater",23
